case,change_id,category,original_text,revised_text,reason_en,reason_zh,golden_evidence
p57,2,missing_rule,"I've got specific locations like pos1 to pos10 and airports from apt1 to apt10, with their corresponding city affiliations as cit1 through cit10.","For each integer i from 1 through 10, pos{i} and apt{i} are locations in cit{i}, and apt{i} is an airport, where every {i} is replaced by the same decimal integer.","Defines exact location identifiers, types, airport types, and city memberships.",精确定义地点标识符、地点类型、机场类型与城市隶属关系。,golden_problem.pddl:129-158: location and airport type atoms | golden_problem.pddl:205-224: city-membership atoms
p57,3,missing_rule,"For the trucks, tru1 through tru10 are at pos1 through pos10 respectively, each with a few packages.","For each integer i from 1 through 10, tru{i} is at pos{i}, and the three packages obj{i}1, obj{i}2, and obj{i}3 are at pos{i}, where every {i} is replaced by the same decimal integer.",Makes all regular truck and package placements uniquely expandable.,使全部规则性的卡车与包裹位置可以唯一展开。,golden_problem.pddl:165-204: truck and package placements
p57,4,ambiguity,specific items are relocated to other designated positions,specific items are at their designated locations,Allows unchanged initial destinations and airport locations without implying extra movement requirements.,允许与初始位置相同的目标和机场地点，且不暗示额外移动要求。,golden_problem.pddl:227-255: complete goal atoms
p57,5,irregular_mapping,"For instance, I want obj63 to remain at pos6, obj93 to move to apt2, and obj72 to relocate to pos8. Some packages need to change airports or positions, such as obj12 to apt10, obj92 to apt10, and obj41 to apt4. Other packages need adjustments similarly, with clear targets of either city, airport, or position outlined.",The complete goal is that all of the following package locations hold simultaneously: obj63 at pos6; obj93 at apt2; obj72 at pos8; obj92 at apt10; obj41 at apt4; obj73 at pos9; obj12 at apt10; obj43 at apt5; obj53 at pos5; obj11 at pos4; obj101 at pos7; obj52 at pos10; obj91 at apt4; obj81 at apt8; obj13 at pos10; obj71 at apt1; obj61 at apt2; obj33 at apt9; obj42 at pos6; obj103 at apt4; obj83 at pos2; obj23 at pos3; obj31 at apt6; obj21 at pos6; obj102 at pos6; obj22 at apt2; obj51 at pos5; obj62 at pos4; and obj32 at apt2.,Enumerates all 29 irregular goal pairs and makes their conjunction explicit.,列举全部 29 个不规则目标对并明确其合取关系。,golden_problem.pddl:227-255: all 29 goal atoms
p57,6,contradiction,meet the problem’s requirements efficiently,meet the problem’s requirements,Removes an unsupported optimization implication.,删除无支持的优化含义。,golden_problem.pddl:226-256: goal conjunction with no :metric | golden_domain.pddl:4-85: no optimization criterion
p58,1,ambiguity,There are packages labeled from obj11 to obj103 and trucks labeled from tru1 to tru10.,"For each integer i from 1 through 10, there are exactly three packages labeled by concatenating obj, the decimal representation of i, and one of 1, 2, or 3; for example, i=1 gives obj11, obj12, and obj13, while i=10 gives obj101, obj102, and obj103. The trucks are labeled from tru1 to tru10.",Replaces the package pseudo-range with exactly the 30 golden package identifiers.,用恰好 30 个黄金包裹标识符替换包裹伪范围。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76: package objects | golden_problem.pddl:79-108: package type atoms"
p58,2,missing_rule,"Additionally, there are airplanes labeled apn1 to apn3, and cities labeled cit1 to cit10, each with a designated location: pos1 to pos10 and airports apt1 to apt10.","Additionally, there are airplanes labeled apn1 to apn3 and cities labeled cit1 to cit10. For each integer i from 1 through 10, pos{i} and apt{i} are locations, and apt{i} is an airport, where every {i} is replaced by the same decimal integer.",Makes all location and airport types uniquely recoverable.,使全部地点与机场类型可被唯一恢复。,golden_problem.pddl:129-158: location and airport type atoms
p58,3,missing_rule,"Each truck is starting at a position corresponding to the number, for instance, tru1 is at pos1, and each position contains packages with the same initial numbers as trucks and positions.","For each integer i from 1 through 10, tru{i} is initially at pos{i}, and obj{i}1, obj{i}2, and obj{i}3 are initially at pos{i}, where every {i} is replaced by the same decimal integer.",Defines the finite identifier correspondence for all truck and package placements.,定义全部卡车与包裹位置的有限标识符对应关系。,golden_problem.pddl:165-204: truck and package placements
p58,4,missing_rule,"Moreover, specific locations correspond to their respective cities; for example, pos1 and apt1 are located within cit1.","Moreover, for each integer i from 1 through 10, pos{i} and apt{i} are located within cit{i}, where every {i} is replaced by the same decimal integer; for example, pos1 and apt1 are located within cit1.",Expands the example into the exact 20-atom indexed city mapping.,将示例扩展为恰好 20 个原子的索引城市映射。,golden_problem.pddl:205-224: all city-membership atoms
p58,5,irregular_mapping,"Our goal is to rearrange these packages to new designated locations: obj51 should be moved to pos2, obj43 to pos10, obj82 to apt6, obj33 should remain at pos3, and so forth. This involves packages being transported across different cities and locations, such as obj12 needing to move to pos7 and obj93 ending up at apt7.",The complete goal is that all of the following package locations hold simultaneously: obj51 at pos2; obj43 at pos10; obj82 at apt6; obj33 at pos3; obj61 at apt2; obj22 at pos6; obj103 at pos5; obj32 at apt7; obj12 at pos7; obj91 at apt6; obj31 at pos7; obj52 at apt5; obj83 at pos10; obj73 at apt2; obj23 at apt8; obj42 at apt8; obj62 at pos3; obj102 at apt8; obj53 at pos5; obj81 at pos6; obj93 at apt7; obj13 at pos4; obj72 at apt8; obj101 at pos1; obj71 at pos5; obj92 at pos2; obj63 at pos2; obj41 at pos8; obj11 at pos3; and obj21 at pos5.,Enumerates all 30 irregular goal pairs and makes their conjunction explicit.,列举全部 30 个不规则目标对并明确其合取关系。,golden_problem.pddl:227-256: all 30 goal atoms
p61,1,ambiguity,"Initially, we have packages labeled from obj11 to obj113, eleven trucks from tru1 to tru11, and cities from cit1 to cit11.","Initially, for each integer i from 1 through 11, we have exactly three packages labeled by concatenating obj, the decimal representation of i, and one of 1, 2, or 3; we also have eleven trucks from tru1 to tru11 and cities from cit1 to cit11.",The bounded concatenation rule yields exactly the 33 golden package labels and removes 70 labels introduced by the literal pseudo-range.,有界连接规则恰好生成 33 个黄金包裹标签，并删除字面伪范围引入的 70 个额外标签。,"golden_problem.pddl:8-10,15-17,23-25,30-32,37-39,44-46,52-54,59-61,66-68,73-75,81-83: package objects | golden_problem.pddl:86-118: (PACKAGE ...)"
p64,1,ambiguity,"Initially, we have packages labeled obj11 through obj113, a total of 33 packages.","Initially, for each integer i from 1 through 11, we have exactly three packages labeled by concatenating obj, the decimal representation of i, and one of 1, 2, or 3, for a total of 33 packages.",The bounded construction yields exactly the 33 golden package labels.,有界构造恰好生成 33 个黄金包裹标签。,"golden_problem.pddl:8-10,15-17,23-25,30-32,37-39,44-46,52-54,59-61,66-68,73-75,81-83: package objects"
p64,2,missing_rule,"Each city has an airport location, apt1 through apt11, and contains one airplane: apn1 is at apt3, apn2 is at apt2, and apn3 is at apt11.","For each integer i from 1 through 11, the city labeled by concatenating cit and i contains the two locations labeled by concatenating pos and i and by concatenating apt and i, and the apt location is an airport; the three airplanes are apn1 at apt3, apn2 at apt2, and apn3 at apt11.",This states the complete same-index membership and airport rules and removes the one-airplane-per-city implication.,该句完整陈述同索引隶属及机场规则，并删除每城一架飞机的暗示。,"golden_problem.pddl:141-179: location, airport, airplane, and airplane-location atoms | golden_problem.pddl:224-245: (IN-CITY ...)"
p64,3,ambiguity,"- In city cit1, located at pos1, we have truck tru1 with packages obj11, obj12, and obj13.","- In city cit1, truck tru1 and packages obj11, obj12, and obj13 are initially at pos1.",This directly states all four co-location atoms.,该句直接陈述四个同地点原子。,golden_problem.pddl:180-183: (AT TRU1/OBJ11/OBJ12/OBJ13 POS1)
p64,4,contradiction,"- In city cit2, at pos2, truck tru2 holds packages obj21, obj22, and obj23.","- In city cit2, truck tru2 and packages obj21, obj22, and obj23 are initially at pos2.",This replaces unsupported in-truck containment with the four golden at-location atoms.,该句以四个黄金地点原子替换无支持的车内装载关系。,golden_problem.pddl:184-187: (AT TRU2/OBJ21/OBJ22/OBJ23 POS2) | golden_domain.pddl:13-14: distinct (at ...) and (in ...) predicates
p64,5,missing_rule,"- Similarly, the pattern continues across the cities up to city cit11 where truck tru11 is at pos11 with packages obj111, obj112, and obj113. Each city's airport is nearby, but initially, our focus is on the packages at different positions.","- For each integer i from 3 through 11, the truck labeled by concatenating tru and i and the three packages labeled by concatenating obj, i, and one of 1, 2, or 3 are initially at the position labeled by concatenating pos and i.",The finite rule expands to the exact remaining 36 placement atoms and removes an unsupported proximity relation.,有限规则恰好展开为其余 36 个位置原子，并删除无支持的邻近关系。,golden_problem.pddl:188-223: truck and package placements for indices 3-11
p64,6,contradiction,obj83 should remain at pos3 along with obj33,obj83 should be at pos3 along with obj33,"Obj83 starts at pos8, so remain incorrectly implies a non-golden initial fact.",obj83 初始位于 pos8，因此 remain 错误暗示了非黄金初始事实。,"golden_problem.pddl:211: (AT OBJ83 POS8) | golden_problem.pddl:267-268: (AT OBJ83 POS3), (AT OBJ33 POS3)"
p64,7,contradiction,obj82 should stay at apt4,obj82 should be at apt4,"Obj82 starts at pos8, so stay incorrectly implies a non-golden initial fact.",obj82 初始位于 pos8，因此 stay 错误暗示了非黄金初始事实。,golden_problem.pddl:210: (AT OBJ82 POS8) | golden_problem.pddl:275: (AT OBJ82 APT4)
p66,1,ambiguity,The trucks (tru1 through tru12) and their corresponding packages are positioned at locations pos1 through pos12.,"For every integer X from 1 through 12, truck truX and packages objX1, objX2, and objX3 are positioned at posX initially, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",Replaces an undefined ‘corresponding packages’ relation with a finite same-index construction that expands to exactly 12 truck and 36 package placements.,用有限的同索引构造替换未定义的“对应包裹”关系，该规则恰好展开为 12 个卡车位置和 36 个包裹位置。,golden_problem.pddl:195-242: all 48 truck/package initial AT atoms
p68,1,ambiguity,"In the initial setup of this logistics challenge, we have packages labeled from obj11 to obj123, which are spread across various locations.","In the initial setup of this logistics challenge, we have packages objX1, objX2, and objX3 for every integer X from 1 through 12, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); these packages are spread across various locations.",Replaces the pseudo-range with the exact bounded package-identifier construction.,用精确且有界的包裹标识符构造替换伪范围。,"golden_problem.pddl:8-10,15-17,22-24,30-32,37-39,51-53,59-61,66-68,73-75,80-82,88-90: 36 package objects | golden_problem.pddl:93-128: 36 PACKAGE atoms"
p68,2,missing_rule,"The scenario includes twelve cities, each having a position and an airport as a location.","The scenario includes twelve cities, cit1 through cit12; for every integer X from 1 through 12, posX and aptX are locations, and aptX is an airport in citX.",Names the complete city/location inventories and supplies exact location and airport typing with a bounded index rule.,明确完整的城市与地点清单，并用有界索引规则给出精确的地点和机场类型。,"golden_problem.pddl:141-188: CITY, LOCATION, and AIRPORT atoms"
p68,3,ambiguity,"Each truck and package also begins at a specific position: for example, tru1 along with packages obj11, obj12, and obj13 are at position pos1 in city 1, tru2 with packages obj21, obj22, and obj23 are situated at position pos2 in city 2, and this pattern continues similarly for all twelve trucks and positions.","For every integer X from 1 through 12, truck truX and packages objX1, objX2, and objX3 begin at posX.",Replaces examples and ‘similarly’ with one complete same-index rule for all 48 placements.,用一条完整的同索引规则替换示例及“类似地”表述，覆盖全部 48 个位置原子。,golden_problem.pddl:195-242: all truck/package initial AT atoms
p68,4,ambiguity,"Each position and airport location is designated to be within a specific city, such as pos1 and apt1 in city 1, pos2 and apt2 in city 2, continuing sequentially up to city 12.","For every integer X from 1 through 12, posX and aptX are in citX.",Makes the finite index correspondence explicit instead of relying on examples and a continuation phrase.,明确有限索引对应关系，不再依赖示例和续写占位语。,golden_problem.pddl:243-266: all 24 IN-CITY atoms
p68,5,irregular_mapping,"For instance, obj13 should remain at pos1, while obj53 needs to be relocated to the airport in city 1. We need obj21 to reach the airport in city 9, obj32 to be delivered to pos12, and similar specific targets for each package listed, including obj122 arriving at pos7, obj72 being transferred to pos2, and obj111 staying at pos11.","Specifically, obj13 should remain at pos1; obj53 needs to be relocated to apt1; obj21 needs to reach apt9; obj32 should be delivered to pos12; obj23 should reach apt11; obj122 should arrive at pos7; obj73 should reach pos3; obj42 should reach pos6; obj22 should reach apt2; obj81 should reach apt7; obj121 should reach pos3; obj52 should reach pos9; obj11 should reach apt8; obj72 should be transferred to pos2; obj112 should reach apt11; obj111 should stay at pos11; obj93 should reach apt7; obj63 should reach pos12; obj123 should reach pos11; obj83 should reach pos6; obj33 should reach apt10; obj12 should reach apt6; obj41 should reach pos8; obj92 should reach pos6; obj61 should reach apt2; obj91 should reach apt1; obj101 should reach apt3; obj31 should reach apt1; obj62 should reach pos11; obj82 should reach apt6; obj51 should reach pos10; obj71 should reach apt2; obj113 should reach apt2; and obj43 should reach apt1.",Replaces seven examples and a vague placeholder with all 34 irregular goal pairs.,用全部 34 个不规则目标对替换七个示例和模糊占位语。,golden_problem.pddl:269-302: complete 34-atom goal conjunction
p68,6,contradiction,the most efficient route,a route,Removes an unsupported optimization objective while preserving the closing sentence.,删除无 PDDL 支持的优化目标，同时保留结尾句。,golden_problem.pddl:268-303: destination conjunction with no metric
p69,1,ambiguity,Initial setup for the logistics game includes 36 packages labeled from obj11 to obj123 and 12 trucks labeled from tru1 to tru12.,"Initial setup for the logistics game includes, for each X from 1 to 12, the three packages objX1, objX2, and objX3, and includes 12 trucks labeled from tru1 to tru12.",Replaces the pseudo-range obj11 to obj123 with a bounded two-index construction while preserving the truck declaration.,用有界的双索引构造替换 obj11 到 obj123 的伪范围，并保留卡车声明。,golden_problem.pddl:lines 4-90: exact object set | golden_problem.pddl:lines 93-140: (PACKAGE ...) and (TRUCK ...) facts
p69,2,missing_rule,There are also 12 cities each with a position and airport location.,"There are also 12 cities labeled from cit1 to cit12, each with a position and airport location.",Adds the missing city labels while preserving the original count and city/location framing.,补充缺失的城市标签，同时保留原有数量和城市/地点表述。,golden_problem.pddl:lines 141-152: (CITY CIT1) through (CITY CIT12)
p69,3,ambiguity,"Every airplane (apn1, apn2, and apn3) is initially stationed at apt12 or apt7.","Every airplane (apn1, apn2, and apn3) is initially stationed as follows: apn1 and apn2 are at apt12, and apn3 is at apt7.",Resolves the ambiguous apt12-or-apt7 placement into the three exact initial airplane locations.,将含糊的 apt12 或 apt7 表述改为三架飞机各自的确切初始位置。,golden_problem.pddl:line 192: (AT APN1 APT12) | golden_problem.pddl:line 193: (AT APN2 APT12) | golden_problem.pddl:line 194: (AT APN3 APT7)
p69,4,missing_rule,"Each position from pos1 to pos12 is located within its corresponding city, and similarly, each airport (apt1 to apt12) is located in its respective city.","For each X from 1 to 12, posX and aptX are locations in citX, and aptX is an airport.","Defines the index correspondence, location types, airport types, and all location-to-city relations without guessing.",明确索引对应、地点类型、机场类型和全部地点到城市关系，无需猜测。,golden_problem.pddl:lines 153-188: (LOCATION ...) and (AIRPORT ...) facts | golden_problem.pddl:lines 243-266: (IN-CITY ...) facts
p69,5,missing_rule,"Specifically, the packages start at various locations; for example, obj11, obj12, and obj13 are at pos1, with the corresponding truck tru1.","Specifically, initially, for each X from 1 to 12, truck truX and packages objX1, objX2, and objX3 are at posX.",Replaces a vague example with the complete bounded initial mapping for all 12 trucks and 36 packages.,用完整有界规则替换模糊示例，覆盖 12 辆卡车和 36 个包裹的初始位置。,golden_problem.pddl:lines 195-242: all truck and package (AT ...) facts
p69,6,irregular_mapping,"For instance, obj81 needs to be at pos1, obj62 at pos5, obj123 at pos7, obj42 at apt12, and obj112 at apt6.","Specifically, obj81 needs to be at pos1; obj62 needs to be at pos5; obj123 needs to be at pos7; obj42 needs to be at apt12; obj112 needs to be at apt6; obj63 needs to be at apt8; obj111 needs to be at pos5; obj122 needs to be at apt5; obj72 needs to be at pos1; obj52 needs to be at apt2; obj103 needs to be at apt3; obj61 needs to be at apt5; obj21 needs to be at apt9; obj31 needs to be at apt12; obj121 needs to be at pos12; obj41 needs to be at apt10; obj51 needs to be at apt5; obj22 needs to be at pos3; obj93 needs to be at apt10; obj13 needs to be at apt5; obj71 needs to be at pos7; obj73 needs to be at pos7; obj92 needs to be at apt2; obj12 needs to be at apt6; obj83 needs to be at apt8; obj33 needs to be at pos12; obj102 needs to be at pos11; obj23 needs to be at pos12; obj11 needs to be at apt9; obj32 needs to be at apt3; obj43 needs to be at apt7; obj91 needs to be at pos5; obj53 needs to be at apt6; obj113 needs to be at pos9; obj101 needs to be at apt12.",Expands the five examples into the exact irregular 35-atom goal mapping.,将五个示例扩展为精确的不规则 35 原子目标映射。,golden_problem.pddl:lines 269-303: all 35 goal atoms
p69,7,ambiguity,The comprehensive list outlines destinations for all packages ensuring proper distribution and logistics management to achieve the described end positions for each package.,These 35 package destinations must all hold simultaneously.,Removes the unsupported claim about all 36 packages and states that the 35 listed goals are simultaneous.,删除关于全部 36 个包裹的不受支持声明，并明确列出的 35 个目标同时成立。,golden_problem.pddl:lines 268-304: conjunctive goal containing 35 atoms
p70,1,ambiguity,"The packages are labeled from obj11 to obj123, the trucks are labeled from tru1 to tru12, and the airplanes are labeled apn1, apn2, and apn3.","For each X from 1 to 12, the three packages are labeled objX1, objX2, and objX3; the trucks are labeled from tru1 to tru12; and the airplanes are labeled apn1, apn2, and apn3.",Replaces the package pseudo-range with the exact bounded construction and preserves the truck and airplane declarations.,用精确的有界构造替换包裹伪范围，并保留卡车和飞机声明。,golden_problem.pddl:lines 4-90: exact object set | golden_problem.pddl:lines 93-140 and 189-191: type facts
p70,2,missing_rule,"There are also twelve cities, each with two locations: a posX location and an aptX airport, where X is the city number from 1 to 12.","There are also twelve cities labeled from cit1 to cit12, each with two locations: a posX location and an aptX airport, where X is the city number from 1 to 12.",Adds the missing cit1-through-cit12 labels; the existing X rule then uniquely links posX and aptX to citX.,补充缺失的 cit1 到 cit12 标签，使原有 X 规则能唯一关联 posX、aptX 与 citX。,"golden_problem.pddl:lines 141-188: city, location, and airport facts | golden_problem.pddl:lines 243-266: location-to-city facts"
p70,3,missing_rule,"Initially, each truck is located at its corresponding posX location with three corresponding packages, and each airplane is stationed at a specific airport: apn1 is at apt11, apn2 is at apt9, and apn3 is at apt2.","Initially, for each X from 1 to 12, truX and packages objX1, objX2, and objX3 are at posX, and each airplane is stationed at a specific airport: apn1 is at apt11, apn2 is at apt9, and apn3 is at apt2.",Defines the complete truck/package suffix correspondence while preserving the already-correct airplane mapping verbatim.,明确完整的卡车/包裹后缀对应，并逐字保留原本正确的飞机映射。,"golden_problem.pddl:lines 192-242: all airplane, truck, and package (AT ...) facts"
p70,4,contradiction,The goal is to move the packages efficiently to these locations using the trucks and airplanes available.,All 35 listed package destinations must hold simultaneously.,Removes an unsupported efficiency objective and makes the conjunction of the 35 listed destinations explicit.,删除 PDDL 未支持的效率目标，并明确 35 个列出目的地构成合取目标。,golden_problem.pddl:lines 268-304: conjunctive goal containing 35 atoms
p73,1,ambiguity,"There are packages named obj11 through obj133 and these are located across various positions labeled pos1, pos2, ..., pos13.","There are exactly 39 packages: for each integer i from 1 through 13, the three package names are formed by concatenating obj, i, and each of 1, 2, and 3, and all three packages are initially located at the position named by concatenating pos and the same i.",The pseudo-range over-generated 84 package labels and 'across various positions' did not define the initial package-to-position mapping.,该伪范围会多生成 84 个包裹标签，而“分布在各种位置”没有定义包裹初始位置的对应关系。,"golden_problem.pddl:lines 9-11,16-18,23-25,30-32,38-40,45-47,52-54,59-61,67-69,74-76,81-83,88-90,96-98: package objects | golden_problem.pddl:lines 101-139: package type atoms | golden_problem.pddl:lines 214-216,218-220,222-224,226-228,230-232,234-236,238-240,242-244,246-248,250-252,254-256,258-260,262-264: package initial positions"
p73,2,missing_rule,"We also have a series of trucks, tru1 through tru13, which are stationed at these positions.","We also have a series of trucks, tru1 through tru13; for each integer i from 1 through 13, the truck named by concatenating tru and i is initially stationed at the position named by concatenating pos and the same i.",The phrase 'these positions' did not uniquely pair each truck with its initial position.,“这些位置”没有唯一确定每辆卡车与其初始位置的配对。,"golden_problem.pddl:lines 140-152: (TRUCK TRU1) through (TRUCK TRU13) | golden_problem.pddl:lines 213,217,221,225,229,233,237,241,245,249,253,257,261: truck initial positions"
p73,3,missing_rule,"The setting includes cities cit1 through cit13, each containing a position and an airport, creating a map of interrelated locations.","The setting includes cities cit1 through cit13; for each integer i from 1 through 13, the names citi, posi, and apti are formed by concatenating cit, pos, and apt respectively with i, posi and apti are locations, apti is an airport, and both posi and apti are in citi, creating a map of interrelated locations.",The original did not name every position/airport or define the shared-index city correspondence and unary location/airport facts.,原文没有给出全部位置与机场名称，也没有定义共享索引的城市对应关系及地点/机场类型事实。,golden_problem.pddl:lines 153-165: city atoms | golden_problem.pddl:lines 166-204: location and airport atoms | golden_problem.pddl:lines 265-290: in-city atoms
p75,1,ambiguity,"Initially, we have 39 packages labeled from obj11 to obj133, 13 trucks named tru1 to tru13, 13 cities known as cit1 to cit13, and several locations, both positional and airport, across these cities.","Initially, for each integer i from 1 through 13, there are exactly three packages whose names are formed by concatenating obj, i, and each of 1, 2, and 3; one truck named by concatenating tru and i; one city named by concatenating cit and i; and two locations named by concatenating pos and i and apt and i, with the latter also being an airport.","The package pseudo-range over-generated 84 labels, and the locations were neither finitely named nor typed.",包裹伪范围会多生成 84 个标签，而且地点既未被有限地命名，也未明确类型。,"golden_problem.pddl:lines 4-98: complete object declarations | golden_problem.pddl:lines 101-208: unary package, truck, city, location, airport, and airplane facts"
p75,2,missing_rule,"Each city hosts a position and an airport, for example, pos1 and apt1 are within cit1.","For each integer i from 1 through 13, the position named by concatenating pos and i and the airport named by concatenating apt and the same i are both within the city named by concatenating cit and i.",One example did not establish the other 24 required in-city atoms.,单个示例不能建立其余 24 个必需的地点—城市关系。,golden_problem.pddl:lines 265-290: all 26 in-city atoms
p75,3,missing_rule,"Correspondingly, each truck, along with its respective packages, is located at a position within a city. For instance, tru1 and packages obj11, obj12, obj13 are located at pos1 within cit1.","For each integer i from 1 through 13, the truck named by concatenating tru and i and the three packages named by concatenating obj, i, and each of 1, 2, and 3 are all initially located at the position named by concatenating pos and the same i.",The vague correspondence plus one example did not define the other 48 initial truck/package locations.,模糊的对应描述加一个示例，不能定义其余 48 个卡车/包裹初始位置。,golden_problem.pddl:lines 213-264: all 52 initial truck/package at atoms
p76,1,missing_rule,"The trucks and packages are initially located as follows: tru1 along with packages obj11, obj12, and obj13 are at position pos1; tru2 with obj21, obj22, and obj23 at pos2, and similarly for the other trucks at their respective positions and corresponding packages.","The trucks and packages are initially located as follows: for each integer i from 1 through 13, the truck named by concatenating tru and i and the three packages named by concatenating obj, i, and each of 1, 2, and 3 are all at the position named by concatenating pos and the same i.",'Similarly' and 'respective/corresponding' left 44 initial at atoms without a uniquely expandable rule.,“同样”以及“各自/对应”没有为其余 44 个初始位置原子提供可唯一展开的规则。,golden_problem.pddl:lines 213-264: all 52 initial truck/package at atoms
p76,2,missing_rule,"Each position and airport is situated within different cities: pos1 and apt1 in cit1, pos2 and apt2 in cit2, continuing in the same way up to pos13 and apt13 in cit13.","Each position and airport is situated within its indexed city: for each integer i from 1 through 13, the position named by concatenating pos and i and the airport named by concatenating apt and the same i are both in the city named by concatenating cit and i.",'Continuing in the same way' did not count as a complete deterministic correspondence for the remaining 22 in-city atoms.,“以同样方式继续”不能作为其余 22 个地点—城市原子的完整确定性对应规则。,golden_problem.pddl:lines 265-290: all 26 in-city atoms
p77,1,missing_rule,Cities and their corresponding locations include: cit1 with pos1 and apt1; cit2 with pos2 and apt2; continuing sequentially up to cit13 with pos13 and apt13.,"For each X from 1 to 13, city citX has locations posX and aptX, and aptX is an airport.",Replaces an open-ended sequential example with the exact finite city/location/airport construction.,用精确的有限城市/地点/机场构造替换开放式顺序示例。,"golden_problem.pddl:lines 4-98: CIT/POS/APT objects | golden_problem.pddl:lines 153-204: city, location, and airport type atoms | golden_problem.pddl:lines 265-290: all (IN-CITY ...) atoms"
p77,2,missing_rule,"Trucks and packages have initial positions within their respective city locations; for example, tru1 and obj11 to obj13 are at pos1, tru2 and obj21 to obj23 are at pos2, this continues up to tru13 having obj131 to obj133 at pos13.","For each X from 1 to 13, truck truX and packages objX1, objX2, and objX3 are initially at posX.",Replaces examples plus “this continues” with a bounded rule for all 13 trucks and 39 packages.,用有界规则替换示例和“继续如此”的模糊说法，覆盖 13 辆卡车和 39 个包裹。,golden_problem.pddl:lines 213-264: all truck/package (AT ...) atoms
p77,3,irregular_mapping,"Our goal is to rearrange packages to specific targets: obj21 to apt3, obj62 to apt8, obj133 to apt10, and similar specific end locations for each package respectively. The remaining packages and trucks need to be arranged as follows: variously in airports, positions, or cities, as specified for each, ultimately organizing the logistics for efficient distribution.",Our goal is to rearrange packages to specific targets: obj21 must be at apt3; obj62 must be at apt8; obj133 must be at apt10; obj132 must be at apt11; obj63 must be at pos10; obj92 must be at pos12; obj93 must be at apt3; obj32 must be at apt7; obj72 must be at pos2; obj91 must be at pos9; obj43 must be at pos7; obj33 must be at pos11; obj53 must be at pos8; obj31 must be at pos12; obj113 must be at apt7; obj23 must be at pos4; obj41 must be at apt13; obj52 must be at apt10; obj103 must be at pos13; obj83 must be at apt12; obj123 must be at pos6; obj73 must be at apt11; obj122 must be at apt7; obj13 must be at apt3; obj121 must be at pos7; obj82 must be at apt2; obj11 must be at apt4; obj101 must be at apt13; obj71 must be at pos3; obj131 must be at apt4; obj42 must be at apt8; obj61 must be at pos9; obj102 must be at apt2; obj112 must be at apt11; obj12 must be at pos13; obj111 must be at pos1; obj51 must be at apt12; obj22 must be at pos1; obj81 must be at apt13. All 39 package destinations must hold simultaneously.,Replaces three examples and vague remaining goals with the exact irregular 39-atom package goal and removes unsupported truck/efficiency goals.,用精确的不规则 39 原子包裹目标替换三个示例和模糊的剩余目标，并删除未受支持的卡车/效率目标。,golden_problem.pddl:lines 292-332: conjunctive 39-atom goal
p78,1,contradiction,"Truck tru1 is located at pos1 in cit1, carrying packages obj11, obj12, and obj13.","Truck tru1 is located at pos1 in cit1, and packages obj11, obj12, and obj13 are also at pos1.",Replaces “carrying” with explicit co-location; the golden init has AT facts and no IN facts for these packages.,用明确的同地点表述替换“承载”；黄金初始状态含 AT 事实而不含这些包裹的 IN 事实。,golden_problem.pddl:lines 7-8: (AT TRU1 POS1) and package (AT ... POS1) atoms | golden_domain.pddl:line 14: (in ?obj ?obj) is the containment predicate
p78,2,ambiguity,"Similarly, truck tru2 is located at pos2 in cit2 with packages obj21, obj22, and obj23.","Similarly, truck tru2 is located at pos2 in cit2, and packages obj21, obj22, and obj23 are also at pos2.",Makes the second truck/package relationship explicitly co-located rather than inheriting the preceding carrying interpretation.,明确第二组卡车和包裹是同地点关系，避免继承前句的承载含义。,golden_problem.pddl:lines 8-9: (AT TRU2 POS2) and package (AT ... POS2) atoms
p81,1,ambiguity,"Specifically, we have packages named obj11 through obj143, and our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.","Specifically, for every integer X from 1 through 14, we have packages objX1, objX2, and objX3, where X is replaced by its decimal numeral in each identifier (so X = 10 yields obj101, obj102, and obj103); our fleet includes trucks tru1 to tru14, and airplanes apn1 to apn4.",Replaces the package pseudo-range with the exact bounded identifier construction while preserving the valid truck and airplane ranges.,用精确的有界标识符构造替换包裹伪范围，同时保留正确的卡车和飞机范围。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76,81-83,88-90,95-97,103-105: 42 package objects | golden_problem.pddl:108-149: PACKAGE atoms"
p81,2,missing_rule,"Our cities, numbered cit1 to cit14, contain specific positions and airports.","Our cities, numbered cit1 to cit14, each contain a position and an airport; specifically, for every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.","Adds exact identifiers, types, and all 28 same-index city memberships with one finite rule.",用一条有限规则补充精确标识符、类型以及全部 28 个同索引城市隶属关系。,"golden_problem.pddl:164-219: CITY, LOCATION, and AIRPORT atoms | golden_problem.pddl:284-311: IN-CITY atoms"
